Time,Latitude,Longitude
17:08.6,39.0187551,-104.8936619
17:09.0,39.01875507,-104.8936619
17:09.3,39.01875503,-104.8936619
17:09.6,39.0187551,-104.8936619
17:10.0,39.0187551,-104.8936619
17:10.3,39.0187551,-104.8936619
17:10.7,39.0187551,-104.8936619
17:11.2,39.0187551,-104.8936619
17:11.6,39.0187551,-104.8936619
17:12.1,39.0187551,-104.8936619
17:12.6,39.0187551,-104.8936619
17:13.0,39.0187549,-104.8936619
17:13.4,39.0187549,-104.8936619
17:13.8,39.01875458,-104.8936622
17:14.4,39.01875453,-104.8936623
17:14.9,39.01875458,-104.8936622
17:15.4,39.01875453,-104.8936623
17:15.9,39.01875439,-104.8936625
17:16.3,39.01875435,-104.8936626
17:16.7,39.0187544,-104.8936625
17:17.1,39.01875436,-104.8936626
17:17.6,39.01875432,-104.8936627
17:18.2,39.01875427,-104.8936629
17:18.6,39.01875423,-104.893663
17:19.0,39.01875428,-104.8936629
17:19.4,39.01875424,-104.893663
17:19.8,39.0187541,-104.8936632
17:20.2,39.01875406,-104.8936632
17:20.6,39.01875402,-104.8936632
17:20.9,39.0187541,-104.8936635
17:21.4,39.0187541,-104.8936636
17:21.8,39.018754,-104.8936639
17:22.5,39.018754,-104.893664
17:22.9,39.0187539,-104.893664
17:23.4,39.0187539,-104.8936641
17:23.8,39.0187539,-104.8936642
17:24.2,39.0187539,-104.8936642
17:24.8,39.0187539,-104.8936642
17:25.2,39.0187538,-104.8936643
17:25.6,39.0187538,-104.8936643
17:26.1,39.0187538,-104.8936643
17:26.5,39.0187538,-104.8936643
17:26.9,39.018754,-104.8936644
17:27.4,39.01875405,-104.8936644
17:27.8,39.01875409,-104.8936644
17:28.2,39.01875413,-104.8936645
17:28.6,39.01875416,-104.8936645
17:29.0,39.01875421,-104.8936646
17:29.5,39.01875426,-104.8936646
17:29.9,39.0187543,-104.8936647
17:30.3,39.0187543,-104.8936647
17:30.7,39.0187543,-104.8936647
17:31.1,39.0187542,-104.8936649
17:31.6,39.0187542,-104.893665
17:32.0,39.0187542,-104.893665
17:32.4,39.0187542,-104.893665
17:32.8,39.0187542,-104.8936651
17:33.1,39.01875419,-104.8936653
17:33.5,39.01875415,-104.8936654
17:33.9,39.01875412,-104.8936654
17:34.2,39.01875408,-104.8936654
17:34.6,39.01875405,-104.8936655
17:35.1,39.01875399,-104.8936656
17:35.5,39.01875395,-104.8936657
17:36.0,39.01875391,-104.8936658
17:36.3,39.0187541,-104.8936658
17:36.7,39.0187541,-104.8936659
17:37.1,39.0187542,-104.8936656
17:37.6,39.0187542,-104.8936657
17:38.1,39.0187542,-104.8936655
17:38.5,39.0187542,-104.8936655
17:39.0,39.0187543,-104.8936655
17:39.5,39.0187543,-104.8936655
17:40.0,39.0187543,-104.8936655
17:40.5,39.0187544,-104.8936655
17:41.1,39.01875451,-104.8936655
17:41.6,39.01875456,-104.8936655
17:42.0,39.01875459,-104.8936655
17:42.4,39.01875463,-104.8936655
17:43.0,39.01875468,-104.8936655
17:43.5,39.01875484,-104.8936653
17:44.0,39.01875489,-104.8936653
17:44.6,39.0187548,-104.8936654
17:45.0,39.0187549,-104.8936655
17:45.4,39.0187549,-104.8936655
17:45.8,39.0187549,-104.8936655
17:46.2,39.0187549,-104.8936656
17:46.6,39.0187549,-104.8936656
17:47.1,39.0187551,-104.8936658
17:47.5,39.0187551,-104.8936658
17:47.9,39.0187551,-104.8936659
17:48.2,39.01875531,-104.893666
17:48.7,39.01875536,-104.8936661
17:49.2,39.0187554,-104.8936661
17:49.6,39.0187554,-104.8936662
17:50.1,39.0187557,-104.8936662
17:50.7,39.01875576,-104.8936663
17:51.4,39.0187558,-104.8936664
17:51.9,39.0187558,-104.8936665
17:52.3,39.0187559,-104.8936664
17:52.6,39.0187559,-104.8936665
17:53.0,39.0187559,-104.8936665
17:53.5,39.0187559,-104.8936663
17:54.1,39.0187559,-104.8936664
17:54.5,39.018756,-104.8936663
17:55.0,39.018756,-104.8936664
17:55.4,39.018756,-104.8936662
17:55.8,39.018756,-104.8936662
17:56.2,39.018756,-104.893666
17:56.7,39.01875596,-104.893666
17:57.1,39.01875592,-104.893666
17:57.6,39.0187562,-104.8936659
17:58.0,39.0187562,-104.8936659
17:58.4,39.0187564,-104.8936659
17:58.9,39.0187564,-104.8936659
17:59.3,39.0187565,-104.8936658
17:59.7,39.0187565,-104.8936657
18:00.2,39.0187565,-104.8936657
18:00.8,39.01875684,-104.8936657
18:01.2,39.01875688,-104.8936657
18:01.7,39.018757,-104.8936657
18:02.1,39.018757,-104.8936656
18:02.6,39.01875724,-104.8936656
18:03.1,39.01875732,-104.8936655
18:03.4,39.01875724,-104.8936652
18:03.9,39.0187569,-104.8936644
18:04.4,39.01875112,-104.8936564
18:04.9,39.01874785,-104.8936529
18:05.3,39.01874472,-104.8936495
18:05.8,39.01874387,-104.89365
18:06.2,39.01874147,-104.8936486
18:06.8,39.0187281,-104.8936384
18:07.4,39.01872003,-104.8936327
18:07.9,39.01870562,-104.8936246
18:08.3,39.01869562,-104.8936201
18:08.9,39.01868722,-104.8936039
18:09.3,39.01867892,-104.8935973
18:09.6,39.01866647,-104.8935768
18:10.2,39.0186509,-104.893562
18:10.7,39.01863436,-104.893535
18:11.1,39.01861823,-104.8935159
18:11.6,39.01861372,-104.8934852
18:12.1,39.01860072,-104.8934571
18:12.5,39.01859641,-104.8934336
18:12.9,39.01858551,-104.8934071
18:13.3,39.01857498,-104.8933815
18:13.7,39.01855798,-104.8933536
18:14.2,39.01854033,-104.8933215
18:14.7,39.01852911,-104.8932853
18:15.1,39.01851772,-104.8932523
18:15.5,39.01852187,-104.8932309
18:16.0,39.01852083,-104.8931979
18:16.3,39.0185201,-104.8931746
18:16.7,39.01852409,-104.8931636
18:17.2,39.01852595,-104.8931374
18:17.5,39.01852109,-104.8931243
18:18.1,39.01852085,-104.8930911
18:18.4,39.01852069,-104.8930698
18:18.8,39.01850769,-104.8930465
18:19.4,39.01849832,-104.8930049
18:19.8,39.01847801,-104.8929629
18:20.3,39.01846575,-104.8929299
18:20.7,39.01846376,-104.8929
18:21.1,39.01845509,-104.8928699
18:21.6,39.01844623,-104.8928484
18:22.1,39.018438,-104.8928275
18:22.5,39.01843119,-104.8928102
18:22.9,39.01842593,-104.8928154
18:23.3,39.01842263,-104.8928082
18:23.7,39.01841361,-104.8928066
18:24.2,39.01841071,-104.8928013
18:24.7,39.01840419,-104.8928002
18:25.2,39.01840258,-104.8927965
18:25.6,39.01840117,-104.8927932
18:26.0,39.01839984,-104.8927959
18:26.3,39.01839977,-104.8927946
18:26.7,39.01840204,-104.892801
18:27.2,39.01840346,-104.8928022
18:27.7,39.01840492,-104.8928046
18:28.2,39.01840548,-104.8928046
18:28.5,39.01840589,-104.8928046
18:29.0,39.01840706,-104.8928035
18:29.4,39.01840645,-104.8928029
18:29.9,39.01840708,-104.8928016
18:30.4,39.01840531,-104.8928013
18:30.9,39.01840613,-104.8927997
18:31.5,39.01840395,-104.8927999
18:32.0,39.01840528,-104.8927984
18:32.5,39.01840352,-104.8927991
18:33.0,39.01840568,-104.8927955
18:33.4,39.01840513,-104.8927944
18:33.8,39.01840571,-104.8927922
18:34.3,39.01840521,-104.8927918
18:35.3,39.01840676,-104.8927907
18:35.8,39.01840687,-104.8927901
18:36.3,39.01840627,-104.8927905
18:36.8,39.01840596,-104.8927899
18:37.2,39.01840545,-104.8927904
18:37.7,39.01840495,-104.8927909
18:38.2,39.01840564,-104.8927917
18:38.7,39.01840568,-104.8927925
